+-----------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                             Results of the Duplicates problem                                                             |
+------------------------+---------------------+----------------------------------+--------------------+------------------------+---------------------------+
| Numbers of repetitions | Model Creation Time | Solver Creation + Transform Time |     Solve Time     | Overall Execution Time | number of search branches |
+------------------------+---------------------+----------------------------------+--------------------+------------------------+---------------------------+
|          1000          |  1.0064621580381632 |        1.6630380823890814        | 2.9119924175959033 |   1.6441879387041174   |            nan            |
|          1500          |  0.9808254441330657 |        1.6076623158924417        | 2.580237922793348  |   1.5715916168242265   |            nan            |
|          2000          |  1.0092752290235127 |        1.7006687267655913        | 2.8973610293249203 |   1.6624247151415417   |            nan            |
|          2500          |  0.9854837209652817 |        1.6259260883512947        | 2.9649631073275042 |   1.5947911033269688   |            nan            |
|          3000          |  0.9724875983652719 |        1.671690640500472         | 3.0899209700997345 |   1.6307969386877925   |            nan            |
|          3500          |  1.0068160081053914 |        1.629285268510862         | 3.154139468856961  |   1.6022142193210958   |            nan            |
|          4000          |  1.0076145344404197 |         1.66428777634792         | 3.299075735547485  |   1.635610671109124    |            nan            |
|          4500          |  1.0062183408231393 |        1.6397054903372164        | 3.3402504637905586 |   1.6137169762370358   |            nan            |
|          5000          |  1.0011755267545077 |        1.6544260176996128        | 3.268828704863456  |   1.6241640470885907   |            nan            |
|          5500          |  0.9950433273265804 |        1.6379852953138285        | 3.311167420841667  |   1.609219457098921    |            nan            |
|          6000          |  1.0138717576533822 |        1.654649871933873         | 3.374453916881461  |   1.6272813881731434   |            nan            |
|          6500          |   0.99043492368898  |        1.6350879634424402        | 3.402724846379508  |   1.608555610067368    |            nan            |
|          7000          |  0.9902330210634538 |        1.6171453982879742        | 3.378056157185709  |   1.5923664232731527   |            nan            |
|          7500          |  0.9877919521096084 |        1.6015367367521611        | 3.4336077921107258 |   1.5799666623918929   |            nan            |
|          8000          |  0.9971347872592904 |        1.6374170172600997        | 3.4929313213332587 |   1.6129630421789989   |            nan            |
|          8500          |  0.9975380943250799 |        1.6491008357667751        | 3.625068479948473  |   1.6247516315037975   |            nan            |
|          9000          |  0.9861300781029589 |        1.6169854425591097        | 3.527408350817703  |   1.594580998999278    |            nan            |
|          9500          |  1.0105297884169988 |        1.6422950361572406        | 3.5399495616911034 |   1.6202625189873263   |            nan            |
|         10000          |  0.9991649305034194 |        1.6381727813352218        | 3.581304558688841  |   1.614836867740053    |            nan            |
+------------------------+---------------------+----------------------------------+--------------------+------------------------+---------------------------+
