+--------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                    Results of a problem with a lot of duplicates with CSE                                                    |
+-----------------------+----------------------+----------------------------------+-----------------------+------------------------+---------------------------+
| Number of repetitions | Model Creation Time  | Solver Creation + Transform Time |       Solve Time      | Overall Execution Time | number of search branches |
+-----------------------+----------------------+----------------------------------+-----------------------+------------------------+---------------------------+
|           10          | 0.013849600101821125 |       0.024993929199990817       | 0.0018295418994966894 |   0.0408053499966627   |            0.0            |
|           20          | 0.02833148329809774  |       0.05152651259850245        | 0.0018568083003628999 |  0.08204037069517653   |            0.0            |
|           30          | 0.042255037394352254 |       0.07561793340428266        | 0.0019624665059382097 |  0.12025604590016883   |            0.0            |
|           40          |  0.0546626668976387  |       0.09709378319384995        | 0.0018854000052670016 |  0.15414876269642264   |            0.0            |
|           50          | 0.06806347510719206  |        0.1227744872943731        | 0.0020131583034526555 |   0.1935403791052522   |            0.0            |
|           60          | 0.08159647499851416  |       0.14632556660217233        |  0.002029949997086078 |  0.23080378749291414   |            0.0            |
|           70          | 0.09572284150053748  |        0.1705729415960377        | 0.0016456291981739924 |  0.26894946670217906   |            0.0            |
|           80          | 0.10906849179882556  |        0.1952199957013363        |  0.002038291803910397 |  0.30743716230499557   |            0.0            |
|           90          | 0.12280819159932435  |       0.21963714579469523        | 0.0019360832025995477 |   0.3457702792948112   |            0.0            |
|          100          | 0.13673538750153966  |       0.24642508750257547        | 0.0020492040988756345 |  0.38673323329421694   |            0.0            |
|          110          | 0.14976337510161103  |        0.2684126665000804        |  0.002022283399128355 |  0.42183523339626844   |            0.0            |
|          120          |  0.163177562400233   |       0.29367656259855723        | 0.0019267374998889863 |  0.46056858750525864   |            0.0            |
|          130          | 0.17720791670435573  |       0.31794919169915375        | 0.0020742500986671076 |   0.4991692874988075   |            0.0            |
|          140          |  0.1906546293059364  |        0.3428635041927919        |  0.002063841401832178 |   0.5377445749996695   |            0.0            |
|          150          | 0.20391009979939553  |        0.3666342248907313        | 0.0019204374024411664 |   0.5747416751022684   |            0.0            |
|          160          | 0.21844087929057424  |       0.39204679989779834        | 0.0018101748981280252 |   0.6148740791977616   |            0.0            |
|          170          | 0.23141194190247916  |        0.4162785876018461        | 0.0019345749024068937 |   0.6523267042997759   |            0.0            |
|          180          |  0.2455198664974887  |       0.44249545829952697        |  0.001979391698841937 |   0.6928339249949204   |            0.0            |
|          190          |  0.2590020377014298  |        0.4656093541008886        |  0.002062454097904265 |   0.7296830709994537   |            0.0            |
+-----------------------+----------------------+----------------------------------+-----------------------+------------------------+---------------------------+
