+---------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                           Results of the Duplicates problem with CSE                                                          |
+------------------------+----------------------+----------------------------------+-----------------------+------------------------+---------------------------+
| Numbers of repetitions | Model Creation Time  | Solver Creation + Transform Time |       Solve Time      | Overall Execution Time | number of search branches |
+------------------------+----------------------+----------------------------------+-----------------------+------------------------+---------------------------+
|          1000          | 0.009990225033834576 |       0.02212384999729693        | 0.0018411081982776523 |  0.03421422496903688   |            0.0            |
|          1500          | 0.014748895727097987 |       0.03182558740954846        | 0.0019259126158431173 |  0.04882495400961488   |            0.0            |
|          2000          | 0.01946837075520307  |       0.04215507509652525        | 0.0018830085173249245 |  0.06395058727357536   |            0.0            |
|          2500          | 0.024843166465871036 |       0.05531417510937899        | 0.0017858248902484775 |  0.08251681670080871   |            0.0            |
|          3000          | 0.028947825031355023 |       0.06134167497511953        | 0.0016813708702102304 |  0.09261262912768871   |            0.0            |
|          3500          | 0.033726929151453075 |       0.07143679580185562        |  0.001850625197403133 |  0.10770131652243435   |            0.0            |
|          4000          | 0.03839610400609672  |       0.08131672486197203        | 0.0018454957287758588 |  0.12235650832299143   |            0.0            |
|          4500          | 0.043083904008381066 |       0.09179759994149209        | 0.0018667208263650537 |  0.13770675407722593   |            0.0            |
|          5000          | 0.05023555001243949  |       0.10766994573641568        |  0.001964983227662742 |   0.1610061210114509   |            0.0            |
|          5500          | 0.053897033305838705 |       0.11673857502173632        |  0.001817424944601953 |  0.17363566681742668   |            0.0            |
|          6000          | 0.058619158109650016 |       0.12466407071333378        |  0.002019245643168688 |  0.18669011250603945   |            0.0            |
|          6500          | 0.06382613747846336  |       0.13692965821828693        |  0.001988349948078394 |  0.20417366249021143   |            0.0            |
|          7000          | 0.06790140005759895  |       0.14556865429040045        | 0.0016327249817550183 |   0.2167962294071913   |            0.0            |
|          7500          | 0.07216975430492312  |       0.15358211242128164        | 0.0020058164140209556 |   0.2294230373809114   |            0.0            |
|          8000          |  0.0775266210315749  |        0.1644692458678037        | 0.0019281917018815875 |   0.245801016734913    |            0.0            |
|          8500          | 0.08225394580513239  |        0.1759992043254897        | 0.0020043333526700733 |  0.26208412940613923   |            0.0            |
|          9000          | 0.08734964991454035  |       0.18674927919637413        | 0.0019358873832970858 |   0.2783181750448421   |            0.0            |
|          9500          | 0.09185282927937806  |       0.19594195005483925        |  0.001691045961342752 |   0.2917078124824911   |            0.0            |
|         10000          | 0.09709058336447925  |       0.20861354160588236        |  0.001819404005073011 |   0.3102263082982972   |            0.0            |
+------------------------+----------------------+----------------------------------+-----------------------+------------------------+---------------------------+
