+-----------------------------------------------------------------------------------------------------------------------------------+
|                                             Results of the Duplicates problem with CSE                                            |
+------------------------+----------------------+----------------------------------+-----------------------+------------------------+
| Numbers of repetitions | Model Creation Time  | Solver Creation + Transform Time |       Solve Time      | Overall Execution Time |
+------------------------+----------------------+----------------------------------+-----------------------+------------------------+
|          1000          | 0.009675666410475969 |       0.02318272510310635        |  0.006108599889557809 |  0.03989232089370489   |
|          1500          | 0.014506487490143627 |       0.03302682919893414        |  0.006118037388660014 |  0.054659845714922994  |
|          2000          | 0.01926928331376985  |       0.04187607069034129        |  0.00598040830809623  |  0.06822121670702472   |
|          2500          | 0.023654375004116445 |       0.050333975011017176       |  0.00585786240408197  |  0.08097148749511689   |
|          3000          | 0.028414141607936472 |       0.05963499161880463        |  0.005864870804361999 |  0.09514210389461368   |
|          3500          | 0.033094012516085056 |       0.06894601659150794        |  0.005837908515240997 |  0.10921689589740709   |
|          4000          | 0.03885245840065181  |       0.08296238728798926        | 0.0062877708929590884 |  0.12986891247564927   |
|          4500          | 0.04339205842697993  |       0.09076116256183013        |  0.00609684600494802  |   0.1419974085292779   |
|          5000          | 0.04742549160728231  |       0.09769308319082484        | 0.0058836500160396096 |  0.15269007917959243   |
|          5500          |  0.0520655291271396  |       0.10678004579385743        |  0.005873904109466821 |  0.16649631231557577   |
|          6000          | 0.05685940011171624  |       0.11632962487637996        |  0.005862629180774093 |  0.18098875019932165   |
|          6500          | 0.06174957501934841  |       0.12660957938060163        |  0.006751696020364762 |   0.1976321705849841   |
|          7000          |  0.0661778791807592  |       0.13485814168816432        |  0.005876458226703107 |  0.20917073752498255   |
|          7500          | 0.07576998349977657  |       0.16015942909289152        |  0.00698932921513915  |   0.2458947706851177   |
|          8000          |  0.0774045667028986  |       0.15918492920463906        |  0.006079320900607854 |  0.24555109578650444   |
|          8500          | 0.08234328350517899  |       0.16757698329165577        |  0.006189024902414531 |  0.25920439577894283   |
|          9000          | 0.08661429991479963  |       0.17696424160385504        | 0.0061532623949460685 |   0.2730378249892965   |
|          9500          | 0.09116393749136478  |       0.18761474181665108        |  0.006024941708892584 |  0.28818299148697407   |
|         10000          | 0.09944064998999239  |       0.20293969598133116        |  0.006433324923273176 |   0.3126531917019747   |
+------------------------+----------------------+----------------------------------+-----------------------+------------------------+
