+-------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                         Results of the Permutations problem with CSE                                                        |
+-----------------------+---------------------+----------------------------------+-----------------------+------------------------+---------------------------+
| Amount of repetitions | Model Creation Time | Solver Creation + Transform Time |       Solve Time      | Overall Execution Time | number of search branches |
+-----------------------+---------------------+----------------------------------+-----------------------+------------------------+---------------------------+
|           10          |  0.0232324123615399 |       0.024927499797195198       | 0.0019482663832604886 |  0.050241787591949104  |            0.0            |
|           20          | 0.04606379980687052 |       0.04891938320361078        |  0.001958229369483888 |  0.09721018315758556   |            0.0            |
|           30          | 0.06931689183693379 |       0.07438717933837324        | 0.0018699084408581256 |   0.1460007374873385   |            0.0            |
|           40          | 0.09215423727873713 |       0.09849781254306436        | 0.0020051417173817753 |   0.193261904316023    |            0.0            |
|           50          | 0.11535852923989295 |       0.12360875008162112        | 0.0018720666179433466 |   0.241562066716142    |            0.0            |
|           60          |  0.1390410291729495 |       0.14813716253265738        |  0.002044691820628941 |   0.2901401833165437   |            0.0            |
|           70          | 0.16082822892349213 |       0.17052795414347202        | 0.0018660625908523798 |   0.3342665999662131   |            0.0            |
|           80          | 0.18279260010458528 |       0.19554174991790205        |  0.002040137490257621 |  0.38157103341072796   |            0.0            |
|           90          | 0.20957311252132058 |       0.22390066245570778        | 0.0020047125406563284 |  0.43693127506412566   |            0.0            |
|          100          | 0.23522992939688264 |        0.2501010877080262        |  0.001841820776462555 |   0.4887042333371937   |            0.0            |
|          110          | 0.25047351252287625 |        0.2669186417479068        | 0.0020127541618421676 |   0.5210612126626074   |            0.0            |
|          120          |  0.2753451710334048 |        0.2943715790985152        | 0.0018410833086818456 |   0.5734300000593067   |            0.0            |
|          130          |  0.2983830292476341 |       0.31767386661376806        | 0.0020263627171516418 |   0.6201243791962042   |            0.0            |
|          140          |  0.3350514916703105 |       0.36310277092270554        | 0.0019911000272259116 |   0.7024335876572877   |            0.0            |
|          150          | 0.34466947917826474 |       0.36787976261693983        |  0.002032125159166753 |   0.7170097207417712   |            0.0            |
|          160          | 0.36870806240476667 |       0.39829007922671733        |  0.001889541605487466 |   0.7714372000191361   |            0.0            |
|          170          |  0.3909212625352666 |        0.4189381625736132        |  0.001964587555266917 |   0.814609149703756    |            0.0            |
|          180          | 0.41416944172233344 |       0.44598931258078667        |  0.002039133268408477 |   0.8651840832084418   |            0.0            |
|          190          | 0.43864812508691103 |        0.4713529331376776        | 0.0018852334236726166 |   0.9150674331700429   |            0.0            |
|          200          |  0.4569936626590788 |       0.49058900827076285        | 0.0019332626136019826 |   0.9529375583631918   |            0.0            |
+-----------------------+---------------------+----------------------------------+-----------------------+------------------------+---------------------------+
