+----------------------------------------------------------------------------------------------------------------------------------+
|                                           Results of the Permutations problem with CSE                                           |
+-----------------------+----------------------+----------------------------------+-----------------------+------------------------+
| Amount of repetitions | Model Creation Time  | Solver Creation + Transform Time |       Solve Time      | Overall Execution Time |
+-----------------------+----------------------+----------------------------------+-----------------------+------------------------+
|           10          | 0.014068874984513969 |       0.02947787070879713        |  0.007707870879676193 |  0.05230796260293573   |
|           20          | 0.02747717498568818  |       0.04259404599433765        |  0.007185666693840176 |  0.07830814995104447   |
|           30          | 0.041371537605300546 |        0.0568676249939017        |  0.007325654395390302 |   0.1068434874061495   |
|           40          | 0.05506492509739473  |       0.07087061238707974        | 0.0072429126361384984 |  0.13459342069691047   |
|           50          | 0.06909154577879235  |       0.08518404171336443        |  0.007416737708263099 |   0.163386374944821    |
|           60          | 0.08283579588169232  |       0.09880642479984089        |  0.007250508212018758 |   0.1906846457044594   |
|           70          | 0.09626585829537362  |       0.11306227491004392        |  0.007227216719184071 |   0.2184604833018966   |
|           80          | 0.11066848718328401  |       0.12801735849352552        |  0.007494524819776416 |  0.24832362501183525   |
|           90          | 0.12437335839495063  |       0.14083155002444983        | 0.0072215958032757046 |   0.2746053292998113   |
|          100          | 0.13828699579462408  |        0.1559504998032935        |  0.007404424890410155 |  0.30406501261750235   |
|          110          | 0.15021803313866258  |       0.16724130020011216        |  0.006952312670182437 |  0.32661905003478753   |
|          120          |  0.1630817542085424  |       0.17877496249275282        |  0.006849604088347405 |   0.351015900215134    |
|          130          |  0.1769161456846632  |       0.19345455409493298        |  0.006906004284974188 |   0.379730029089842    |
|          140          | 0.19033952096942813  |       0.20634595000883565        |  0.006847625109367072 |  0.40605848350096496   |
|          150          |  0.2039564915932715  |       0.22083751237951219        |  0.006898983439896256 |   0.4344457291997969   |
|          160          | 0.21911441250704228  |        0.2384617333766073        | 0.0070604623877443375 |  0.46774962480412796   |
|          170          | 0.23289338749600574  |        0.2516539959120564        |  0.00709962509572506  |   0.4949958626064472   |
|          180          | 0.24427401259308681  |       0.26287122900830584        |  0.006903162493836134 |   0.5173526167054661   |
|          190          |  0.2593348875758238  |       0.27589072490809485        |  0.006888795923441648 |   0.5455364916124381   |
|          200          |  0.2733288957038894  |        0.291972221119795         |  0.007009895774535835 |   0.5762045373907313   |
+-----------------------+----------------------+----------------------------------+-----------------------+------------------------+
